orderid,orderdate,customer,product,units,billingaddress,remarks
1001,9/14/2018,265,615,88,Bangalore,Wonderful Product
1002,4/16/2019,107,67,22,Kolkata,Awful Items
1003,7/17/2019,451,163,12,Trivandrum,Appreciated
1004,4/13/2019,971,324,82,Mumbai,Strongly Recommend to Everyone to Buy this Product
1005,9/13/2018,856,34,91,Bangalore,Dont ever dream of buying this item
1006,4/10/2019,583,356,26,Hyderabad,Pathetic Items Received
1007,4/30/2019,387,106,82,New Delhi,Strongly Recommend to Everyone to Buy this Product
1008,1/30/2019,843,930,35,Bangalore,Appreciated
1009,1/6/2019,163,498,52,Bangalore,Appreciated
1010,11/10/2018,884,430,26,Mumbai,Awful Items
1011,8/14/2019,342,297,52,Trivandrum,Wonderful Product
1012,12/10/2018,530,950,87,Bangalore,Strongly Recommend to Everyone to Buy this Product
1013,8/25/2019,264,130,55,Trivandrum,Awful Items
1014,4/21/2019,585,502,97,Hyderabad,Strongly Recommend to Everyone to Buy this Product
1015,5/31/2019,87,469,19,Mysore,Dont ever dream of buying this item
1016,12/31/2018,307,317,67,Bangalore,Pathetic Items Received
1017,11/23/2018,969,405,89,Bangalore,Strongly Recommend to Everyone to Buy this Product
1018,4/5/2019,969,429,49,Mysore,Dont ever dream of buying this item
1019,11/30/2018,669,503,81,New Delhi,Strongly Recommend to Everyone to Buy this Product
1020,2/26/2019,92,248,58,Mumbai,Pathetic Items Received
1021,9/30/2018,137,470,50,Hyderabad,Pathetic Items Received
1022,8/20/2019,617,439,71,Kolkata,Appreciated
1023,3/19/2019,71,951,31,Kolkata,Pathetic Items Received
1024,10/10/2018,81,85,37,Chennai,Wonderful Product
1025,5/4/2019,402,929,54,Mumbai,Strongly Recommend to Everyone to Buy this Product
1026,2/9/2019,605,947,62,Hyderabad,Dont ever dream of buying this item
1027,11/19/2018,915,982,11,Chennai,Dont ever dream of buying this item
1028,10/16/2018,65,444,66,Hyderabad,Wonderful Product
1029,4/30/2019,756,598,34,Trivandrum,Strongly Recommend to Everyone to Buy this Product
1030,10/5/2018,727,561,43,Mumbai,Strongly Recommend to Everyone to Buy this Product
1031,8/28/2019,760,109,46,Chennai,Strongly Recommend to Everyone to Buy this Product
1032,1/1/2019,394,411,59,Mysore,Strongly Recommend to Everyone to Buy this Product
1033,4/21/2019,332,878,13,New Delhi,Strongly Recommend to Everyone to Buy this Product
1034,4/26/2019,220,484,61,New Delhi,Dont ever dream of buying this item
1035,8/4/2019,601,657,57,Mumbai,Wonderful Product
1036,11/17/2018,614,28,14,Trivandrum,Wonderful Product
1037,6/2/2019,968,699,14,Hyderabad,Wonderful Product
1038,9/22/2018,869,412,42,New Delhi,Strongly Recommend to Everyone to Buy this Product
1039,10/22/2018,37,478,38,Bangalore,Dont ever dream of buying this item
1040,7/8/2019,492,385,56,Bangalore,Appreciated
1041,3/27/2019,696,263,71,Kolkata,Dont ever dream of buying this item
1042,7/18/2019,564,160,83,Trivandrum,Dont ever dream of buying this item
1043,3/17/2019,158,654,90,Mumbai,Pathetic Items Received
1044,2/20/2019,669,633,78,New Delhi,Awful Items
1045,11/3/2018,765,969,73,Hyderabad,Dont ever dream of buying this item
1046,8/2/2019,477,502,97,New Delhi,Appreciated
1047,11/14/2018,883,15,65,Mumbai,Pathetic Items Received
1048,10/31/2018,59,352,83,Chennai,Dont ever dream of buying this item
1049,8/10/2019,33,198,65,Hyderabad,Appreciated
1050,8/13/2019,361,155,78,Hyderabad,Dont ever dream of buying this item
1051,2/14/2019,719,196,78,Chennai,Pathetic Items Received
1052,2/20/2019,263,226,79,Kolkata,Awful Items
1053,6/20/2019,566,324,95,Mumbai,Dont ever dream of buying this item
1054,11/4/2018,958,913,39,Bangalore,Wonderful Product
1055,8/2/2019,123,731,18,Chennai,Appreciated
1056,4/7/2019,947,674,92,Chennai,Strongly Recommend to Everyone to Buy this Product
1057,8/26/2019,465,76,30,Hyderabad,Wonderful Product
1058,12/26/2018,164,812,42,Kolkata,Pathetic Items Received
1059,7/17/2019,10,256,91,Hyderabad,Wonderful Product
1060,5/27/2019,985,737,21,Trivandrum,Strongly Recommend to Everyone to Buy this Product
1061,5/14/2019,439,635,15,New Delhi,Pathetic Items Received
1062,12/13/2018,739,386,44,Hyderabad,Dont ever dream of buying this item
1063,4/8/2019,456,603,66,Bangalore,Dont ever dream of buying this item
1064,2/3/2019,697,727,99,Mumbai,Pathetic Items Received
1065,2/24/2019,843,679,80,Bangalore,Wonderful Product
1066,1/30/2019,851,373,52,Mumbai,Appreciated
1067,2/12/2019,211,253,34,Hyderabad,Pathetic Items Received
1068,7/19/2019,350,364,21,Mumbai,Awful Items
1069,9/6/2019,938,158,94,Chennai,Strongly Recommend to Everyone to Buy this Product
1070,11/28/2018,541,492,23,Trivandrum,Strongly Recommend to Everyone to Buy this Product
1071,4/22/2019,140,418,51,Chennai,Pathetic Items Received
1072,3/22/2019,776,347,52,Mumbai,Awful Items
1073,12/21/2018,422,610,40,Trivandrum,Dont ever dream of buying this item
1074,5/27/2019,344,283,62,Kolkata,Awful Items
1075,10/7/2018,621,674,80,Chennai,Wonderful Product
1076,12/8/2018,483,482,16,Trivandrum,Awful Items
1077,6/30/2019,688,454,57,Mysore,Pathetic Items Received
1078,1/27/2019,363,549,27,Bangalore,Strongly Recommend to Everyone to Buy this Product
1079,6/18/2019,812,355,84,Chennai,Strongly Recommend to Everyone to Buy this Product
1080,10/4/2018,485,567,34,Mumbai,Pathetic Items Received
1081,1/16/2019,972,310,41,Chennai,Dont ever dream of buying this item
