orderid,orderdate,customer,product,units,billingaddress,remarks
2001,12/12/2018,866,583,82,Chennai,Pathetic Items Received
2002,11/4/2018,981,220,71,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2003,1/17/2019,235,571,96,Bangalore,Appreciated
2004,4/5/2019,86,727,79,Chennai,Awful Items
2005,2/4/2019,701,801,30,Bangalore,Strongly Recommend to Everyone to Buy this Product
2006,3/18/2019,132,251,86,Chennai,Wonderful Product
2007,9/20/2018,467,407,66,Bangalore,Awful Items
2008,4/23/2019,90,253,39,Bangalore,Pathetic Items Received
2009,11/24/2018,616,501,38,Kolkata,Appreciated
2010,4/6/2019,883,243,94,Chennai,Dont ever dream of buying this item
2011,5/26/2019,977,479,57,Chennai,Dont ever dream of buying this item
2012,7/20/2019,449,909,83,Bangalore,Strongly Recommend to Everyone to Buy this Product
2013,3/28/2019,507,777,11,Kolkata,Pathetic Items Received
2014,10/9/2018,339,36,84,Hyderabad,Appreciated
2015,6/28/2019,699,821,67,Hyderabad,Pathetic Items Received
2016,4/24/2019,409,356,49,New Delhi,Wonderful Product
2017,1/6/2019,499,972,58,Bangalore,Awful Items
2018,4/4/2019,41,82,94,Kolkata,Dont ever dream of buying this item
2019,3/14/2019,39,248,18,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2020,11/16/2018,427,974,46,Bangalore,Wonderful Product
2021,4/12/2019,420,908,78,Hyderabad,Dont ever dream of buying this item
2022,10/31/2018,500,36,46,New Delhi,Appreciated
2023,1/14/2019,808,534,78,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2024,11/1/2018,289,3,98,Kolkata,Appreciated
2025,6/7/2019,758,252,25,Bangalore,Pathetic Items Received
2026,11/4/2018,927,7,79,Mumbai,Appreciated
2027,12/3/2018,839,897,90,Mumbai,Awful Items
2028,5/6/2019,79,266,18,Mysore,Strongly Recommend to Everyone to Buy this Product
2029,4/1/2019,475,71,46,Bangalore,Strongly Recommend to Everyone to Buy this Product
2030,3/26/2019,660,340,62,New Delhi,Appreciated
2031,7/23/2019,344,332,78,Mysore,Appreciated
2032,3/6/2019,231,270,19,Mysore,Pathetic Items Received
2033,6/22/2019,405,437,50,Trivandrum,Wonderful Product
2034,12/21/2018,692,423,28,Bangalore,Dont ever dream of buying this item
2035,12/22/2018,544,746,64,New Delhi,Pathetic Items Received
2036,7/31/2019,204,783,29,Kolkata,Appreciated
2037,5/1/2019,513,794,31,Chennai,Strongly Recommend to Everyone to Buy this Product
2038,1/18/2019,498,236,53,Hyderabad,Dont ever dream of buying this item
2039,2/10/2019,96,579,60,New Delhi,Awful Items
2040,9/18/2018,32,1,30,New Delhi,Wonderful Product
2041,3/22/2019,321,1,61,New Delhi,Strongly Recommend to Everyone to Buy this Product
2042,1/11/2019,592,966,96,Hyderabad,Wonderful Product
2043,5/31/2019,80,482,52,Mysore,Wonderful Product
2044,9/3/2019,303,149,12,Hyderabad,Pathetic Items Received
2045,4/4/2019,158,112,64,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2046,5/14/2019,184,25,29,Mysore,Awful Items
2047,1/25/2019,801,360,69,Mumbai,Pathetic Items Received
2048,3/10/2019,272,339,95,Mumbai,Dont ever dream of buying this item
2049,10/22/2018,379,985,75,Trivandrum,Dont ever dream of buying this item
2050,7/11/2019,16,581,41,Mumbai,Wonderful Product
2051,1/26/2019,768,262,43,Kolkata,Awful Items
2052,2/11/2019,446,703,53,Trivandrum,Appreciated
2053,9/27/2018,636,344,91,Bangalore,Wonderful Product
2054,10/28/2018,565,374,72,Kolkata,Wonderful Product
2055,11/30/2018,960,99,29,Kolkata,Strongly Recommend to Everyone to Buy this Product
2056,6/24/2019,255,402,25,New Delhi,Awful Items
2057,3/7/2019,361,494,33,Trivandrum,Appreciated
2058,8/21/2019,552,960,78,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2059,3/4/2019,330,884,18,Bangalore,Dont ever dream of buying this item
2060,8/18/2019,200,595,97,Hyderabad,Dont ever dream of buying this item
2061,10/19/2018,656,55,83,Chennai,Wonderful Product
2062,3/10/2019,183,449,91,Bangalore,Strongly Recommend to Everyone to Buy this Product
2063,8/19/2019,825,287,85,Kolkata,Wonderful Product
2064,5/9/2019,458,806,53,Mysore,Dont ever dream of buying this item
2065,8/13/2019,878,519,33,Kolkata,Strongly Recommend to Everyone to Buy this Product
2066,10/19/2018,277,228,65,New Delhi,Pathetic Items Received
2067,7/31/2019,417,664,32,Mysore,Pathetic Items Received
2068,8/15/2019,395,825,30,Mumbai,Awful Items
2069,11/30/2018,658,827,91,New Delhi,Strongly Recommend to Everyone to Buy this Product
2070,8/31/2019,221,106,71,Trivandrum,Wonderful Product
2071,8/12/2019,468,736,66,Trivandrum,Pathetic Items Received
2072,4/25/2019,315,893,10,Kolkata,Pathetic Items Received
2073,2/4/2019,981,217,42,Trivandrum,Wonderful Product
2074,7/24/2019,882,80,96,Trivandrum,Pathetic Items Received
2075,6/10/2019,739,39,48,Kolkata,Pathetic Items Received
2076,6/26/2019,620,131,59,Bangalore,Appreciated
2077,3/9/2019,349,991,39,New Delhi,Dont ever dream of buying this item
2078,8/30/2019,3,233,83,New Delhi,Appreciated
2079,6/16/2019,443,527,49,Trivandrum,Awful Items
2080,1/18/2019,48,334,52,Hyderabad,Awful Items
2081,11/8/2018,160,449,65,New Delhi,Pathetic Items Received
2082,10/16/2018,917,243,71,Bangalore,Awful Items
2083,10/30/2018,237,1000,14,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2084,4/12/2019,719,670,26,New Delhi,Awful Items
2085,9/28/2018,328,221,26,Bangalore,Awful Items
2086,7/24/2019,673,465,32,Chennai,Pathetic Items Received
2087,3/4/2019,131,189,78,Chennai,Appreciated
2088,5/26/2019,492,411,26,Mumbai,Appreciated
2089,5/29/2019,1000,14,75,Hyderabad,Awful Items
2090,12/23/2018,415,767,33,Bangalore,Dont ever dream of buying this item
2091,12/2/2018,20,694,82,Mumbai,Wonderful Product
2092,7/3/2019,519,390,73,Trivandrum,Wonderful Product
2093,7/31/2019,879,996,13,Hyderabad,Wonderful Product
2094,1/30/2019,72,65,55,Mysore,Dont ever dream of buying this item
2095,9/10/2018,25,278,34,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2096,10/22/2018,14,721,45,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2097,9/11/2018,301,188,85,Hyderabad,Awful Items
2098,9/9/2018,366,874,26,New Delhi,Appreciated
2099,6/6/2019,136,975,16,Mysore,Wonderful Product
2100,8/9/2019,216,372,83,New Delhi,Wonderful Product
2101,2/18/2019,64,633,50,New Delhi,Strongly Recommend to Everyone to Buy this Product
2102,4/8/2019,26,798,62,Bangalore,Strongly Recommend to Everyone to Buy this Product
2103,8/28/2019,152,213,96,Hyderabad,Dont ever dream of buying this item
2104,7/27/2019,916,55,48,Trivandrum,Dont ever dream of buying this item
2105,9/14/2018,873,524,87,Hyderabad,Wonderful Product
2106,7/12/2019,104,623,80,New Delhi,Wonderful Product
2107,3/28/2019,314,134,54,Hyderabad,Dont ever dream of buying this item
2108,6/17/2019,62,205,89,New Delhi,Pathetic Items Received
2109,8/6/2019,689,793,97,Mumbai,Strongly Recommend to Everyone to Buy this Product
2110,10/27/2018,239,328,26,Trivandrum,Wonderful Product
2111,4/5/2019,658,62,77,Hyderabad,Pathetic Items Received
2112,10/21/2018,819,210,19,Chennai,Dont ever dream of buying this item
2113,8/10/2019,783,840,19,Bangalore,Pathetic Items Received
2114,2/12/2019,930,829,20,Hyderabad,Appreciated
